word	root	plural_1	plural_2	plural_3	source
ءبد	ابد	اوابد			qalsadi-nouns
ءبدين	ابد	الءبدين			qalsadi-nouns
ءتي	اتي				qalsadi-nouns
ءثار	اثر				qalsadi-nouns
ءثم	اثم				qalsadi-nouns
ءجل	اجل				qalsadi-nouns
ءجلة	اجل				qalsadi-nouns
ءح	اوح				qalsadi-nouns
ءخر	اخر				qalsadi-nouns
ءخرة	اخر				qalsadi-nouns
ءداب	ادب	مفردادب			qalsadi-nouns
ءزفة	ازف				qalsadi-nouns
ءسف	اسف				qalsadi-nouns
ءسن	اسن				qalsadi-nouns
ءسية	اسي	اسايا			qalsadi-nouns
ءصرة	اصر	اواصر			qalsadi-nouns
ءفة	اوف				qalsadi-nouns
ءفكة	افك	اوافك			qalsadi-nouns
ءفل	افل	افل	افول		qalsadi-nouns
ءكلة	اكل				qalsadi-nouns
ءلة	اول				qalsadi-nouns
ءلي	اول				qalsadi-nouns
ءمر	امر				qalsadi-nouns
ءمن	امن				qalsadi-nouns
ءناء	اني				qalsadi-nouns
ءنسة	انس	اوانس			qalsadi-nouns
ءنسون	نب				qalsadi-nouns
ءهة	اوي				qalsadi-nouns
ءهل	اهل				qalsadi-nouns
ءية	اوي	ءي			qalsadi-nouns
اءتكال	اكل				qalsadi-nouns
اءتلاف	انف				qalsadi-nouns
اءتلافي	الف				qalsadi-nouns
اءتلاق	الق				qalsadi-nouns
اءتمار	امر				qalsadi-nouns
اءتمان	امن				qalsadi-nouns
اب	ابو	ءباء			qalsadi-nouns
اباء	ابي				qalsadi-nouns
اباتة	بيت				qalsadi-nouns
اباحة	بوح				qalsadi-nouns
اباحي	بوح				qalsadi-nouns
ابادة	بيد				qalsadi-nouns
ابانة	بين				qalsadi-nouns
ابتءاس	باس				qalsadi-nouns
ابتداء	بدا				qalsadi-nouns
ابتداءي	بدا				qalsadi-nouns
ابتداع	بدع				qalsadi-nouns
ابتذال	بذل				qalsadi-nouns
ابتر	بتر	بترمءبتراء			qalsadi-nouns
ابتزاز	بزز				qalsadi-nouns
ابتسام	بسم				qalsadi-nouns
ابتسامة	بسم				qalsadi-nouns
ابتعاد	بعد				qalsadi-nouns
ابتغاء	بغي				qalsadi-nouns
ابتكار	بكر				qalsadi-nouns
ابتلاء	بلي				qalsadi-nouns
ابتلاع	بلع				qalsadi-nouns
ابتناء	بني				qalsadi-nouns
ابتهاج	بهج				qalsadi-nouns
ابتهال	بهل				qalsadi-nouns
ابتياع	باع				qalsadi-nouns
ابجر	بحر	بجر	بجران	مءبجراء	qalsadi-nouns
ابحار	بحر				qalsadi-nouns
ابد	ابد	ءباد			qalsadi-nouns
ابداء	بدو				qalsadi-nouns
ابداع	بدع				qalsadi-nouns
ابدال	بدل				qalsadi-nouns
ابدي	ابد				qalsadi-nouns
ابراح	برح				qalsadi-nouns
ابرار	برر				qalsadi-nouns
ابراز	برز				qalsadi-nouns
ابراق	برق				qalsadi-nouns
ابرام	برم				qalsadi-nouns
ابرة	ابر	ابر			qalsadi-nouns
ابرز	برز				qalsadi-nouns
ابرص	برص	برصمءبرصاءبرصاوات			qalsadi-nouns
ابزار	بزر				qalsadi-nouns
ابسط	بسط				qalsadi-nouns
ابصار	بصر				qalsadi-nouns
ابط	ابط	ءباطمذ	مء		qalsadi-nouns
ابطا	بطا				qalsadi-nouns
ابطاء	بطا				qalsadi-nouns
ابطال	بطل				qalsadi-nouns
ابعاد	بعد	مفردبعد			qalsadi-nouns
ابعاد	بعد				qalsadi-nouns
ابعد	بعد	اباعد			qalsadi-nouns
ابغاء	بغي				qalsadi-nouns
ابغاض	بغض				qalsadi-nouns
ابقاء	بقي				qalsadi-nouns
ابكاء	بكي				qalsadi-nouns
ابكار	بكر				qalsadi-nouns
ابكم	بكم	بكممءبكماءبكماوات			qalsadi-nouns
ابلاء	بلي				qalsadi-nouns
ابلاج	بلج				qalsadi-nouns
ابلاغ	بلغ				qalsadi-nouns
ابلد	بلد				qalsadi-nouns
ابلق	بلق	بلقمءبلقاءبلقاوات			qalsadi-nouns
ابله	بله	بلهمءبلهاءبلهاوات			qalsadi-nouns
ابها	بهي				qalsadi-nouns
ابهاء	بهي				qalsadi-nouns
ابهاج	بهج				qalsadi-nouns
ابهار	بهر				qalsadi-nouns
ابهاظ	بهظ				qalsadi-nouns
ابهام	بهم	اباهيممذ	مء		qalsadi-nouns
ابهر	بهر	مثناابهرانابهران			qalsadi-nouns
ابوة	ابو				qalsadi-nouns
ابي	ابي				qalsadi-nouns
ابيض	بيض	بيضمءبيضاءبيضاوات			qalsadi-nouns
ابيضاض	بيض				qalsadi-nouns
اتءاد	واد				qalsadi-nouns
اتاحة	تيح				qalsadi-nouns
اتاوة	اتو	اتاوا			qalsadi-nouns
اتباع	تبع				qalsadi-nouns
اتجار	تجر				qalsadi-nouns
اتجاه	وجه				qalsadi-nouns
اتحاد	احد،وحد				qalsadi-nouns
اتحاف	تحف				qalsadi-nouns
اتخاذ	اخذ				qalsadi-nouns
اتخام	تخم				qalsadi-nouns
اتراح	ترح				qalsadi-nouns
اتراع	ترع				qalsadi-nouns
اتراف	ترف				qalsadi-nouns
اتزان	وزن				qalsadi-nouns
اتساخ	وسخ				qalsadi-nouns
اتساع	وسع				qalsadi-nouns
اتساق	وسق				qalsadi-nouns
اتسام	وسم				qalsadi-nouns
اتشاح	وشح				qalsadi-nouns
اتصاف	وصف				qalsadi-nouns
اتصال	وصل				qalsadi-nouns
اتضاح	وضح				qalsadi-nouns
اتعاب	تعب	مفردتعب			qalsadi-nouns
اتعاب	تعب				qalsadi-nouns
اتعاظ	وعظ				qalsadi-nouns
اتفاق	وفق				qalsadi-nouns
اتفاقية	وفق				qalsadi-nouns
اتقاء	وقي				qalsadi-nouns
اتقاد	وقد				qalsadi-nouns
اتقان	وقن				qalsadi-nouns
اتكاء	وكا				qalsadi-nouns
اتكال	وكل				qalsadi-nouns
