singular	plural	source
ءبد	اوابد	qalsadi-nouns
ءبدين	الءبدين	qalsadi-nouns
ءجرة	ءجر	qalsadi-nouns
ءداب	مفردادب	qalsadi-nouns
ءسية	اسايا	qalsadi-nouns
ءصرة	اواصر	qalsadi-nouns
ءفكة	اوافك	qalsadi-nouns
ءفل	افل	qalsadi-nouns
ءفل	افول	qalsadi-nouns
ءنسة	اوانس	qalsadi-nouns
ءية	ءي	qalsadi-nouns
اب	ءباء	qalsadi-nouns
ابتر	بترمءبتراء	qalsadi-nouns
ابجر	بجر	qalsadi-nouns
ابجر	بجران	qalsadi-nouns
ابجر	مءبجراء	qalsadi-nouns
ابد	ءباد	qalsadi-nouns
ابرة	ابر	qalsadi-nouns
ابرش	برش	qalsadi-nouns
ابرش	مءبرشاء	qalsadi-nouns
ابرص	برصمءبرصاءبرصاوات	qalsadi-nouns
ابريق	اباريق	qalsadi-nouns
ابزيم	ابازيم	qalsadi-nouns
ابط	ءباطمذ	qalsadi-nouns
ابط	مء	qalsadi-nouns
ابعاد	مفردبعد	qalsadi-nouns
ابعد	اباعد	qalsadi-nouns
ابكم	بكممءبكماءبكماوات	qalsadi-nouns
ابل	ءبال	qalsadi-nouns
ابلق	بلقمءبلقاءبلقاوات	qalsadi-nouns
ابله	بلهمءبلهاءبلهاوات	qalsadi-nouns
ابليس	اباليس	qalsadi-nouns
ابليس	ابالسة	qalsadi-nouns
ابن	ابناء	qalsadi-nouns
ابن	بنونالولدالذ	qalsadi-nouns
ابنة	مءنثالابن	qalsadi-nouns
ابهام	اباهيممذ	qalsadi-nouns
ابهام	مء	qalsadi-nouns
ابهر	مثناابهرانابهران	qalsadi-nouns
ابيض	بيضمءبيضاءبيضاوات	qalsadi-nouns
اتان	اتن	qalsadi-nouns
اتان	ءتن	qalsadi-nouns
اتاوة	اتاوا	qalsadi-nouns
اتب	اتوب	qalsadi-nouns
اترجة	واحدةالاترج	qalsadi-nouns
اتعاب	مفردتعب	qalsadi-nouns
اتون	اتن	qalsadi-nouns
اتون	اتانين	qalsadi-nouns
اثر	ءثار	qalsadi-nouns
اثفية	اثاف	qalsadi-nouns
اثفية	الاثافي	qalsadi-nouns
اثقال	مفردثقل	qalsadi-nouns
اثم	ءثام	qalsadi-nouns
اثيم	اثماء	qalsadi-nouns
اجابة	اجوبة	qalsadi-nouns
اجدع	جدعمءجدعاءجدعاوات	qalsadi-nouns
اجدل	اجادل	qalsadi-nouns
اجذم	جذم	qalsadi-nouns
اجذم	جذمامءجذماءجذم	qalsadi-nouns
اجر	اجور	qalsadi-nouns
اجرب	جربمءجرباءجرباوات	qalsadi-nouns
اجرة	اجر	qalsadi-nouns
اجرد	جردمءجرداءجرداوات	qalsadi-nouns
اجش	جشمءجشاء	qalsadi-nouns
اجفان	مفردجفن	qalsadi-nouns
اجل	ءجال	qalsadi-nouns
اجمة	جءجام	qalsadi-nouns
اجمع	اجمعونمءنثجمعاء	qalsadi-nouns
اجنبي	ات	qalsadi-nouns
اجنبي	اجانب	qalsadi-nouns
اجود	اجاود	qalsadi-nouns
اجود	مءجودا	qalsadi-nouns
اجوف	جوف	qalsadi-nouns
اجوف	مءجوفاء	qalsadi-nouns
اجيد	جودمءجيداء	qalsadi-nouns
اجير	اجراء	qalsadi-nouns
اجير	اجيرات	qalsadi-nouns
احبولة	احابيل	qalsadi-nouns
احتفال	ات	qalsadi-nouns
احجية	احاج	qalsadi-nouns
احجية	احاجي	qalsadi-nouns
احد	ءحادمءاحدا	qalsadi-nouns
احدا	مءاحدفيالفصلاحداع	qalsadi-nouns
احداث	مفردحدث	qalsadi-nouns
احدب	حدبمءحدباءحدباوات	qalsadi-nouns
احرش	حرشمءحرشاءحرشاوات	qalsadi-nouns
احسن	احاسنمءحسناحسنيات	qalsadi-nouns
احق	احاقق	qalsadi-nouns
احق	مءحقا	qalsadi-nouns
احقاد	مفردحقد	qalsadi-nouns
احكام	حكم	qalsadi-nouns
احلا	مءحلوا	qalsadi-nouns
احليل	احاليل	qalsadi-nouns
احمر	حمرمءحمراءحمراوات	qalsadi-nouns
احمق	ححمق	qalsadi-nouns
احمق	حمقامءحمقاءحمق	qalsadi-nouns
احن	مفرداحنة	qalsadi-nouns
احنف	مءنثحنفاء	qalsadi-nouns
احور	حورمءحوراءحوراوات	qalsadi-nouns
احول	حولمءحولاءحولاوات	qalsadi-nouns
اخ	اخوة	qalsadi-nouns
اخ	اخوانمثناها	qalsadi-nouns
اخاديد	مفرداخدود	qalsadi-nouns
اخبار	مفردخبر	qalsadi-nouns
اخبث	مثنااخبثاناخبثان	qalsadi-nouns
اخت	اخواتمذاخ	qalsadi-nouns
اخدعان	اخادعمثناالاخدع	qalsadi-nouns
اخدود	اخاديد	qalsadi-nouns
اخذ	اخذانالمعجمالوسيط	qalsadi-nouns
اخرا	اخر	qalsadi-nouns
اخرا	اخرياتمءنثءخر	qalsadi-nouns
اخرس	خرسمءخرساءخرساوات	qalsadi-nouns
اخشن	خشنمءخشناءخشناوات	qalsadi-nouns
اخص	اخاصص	qalsadi-nouns
اخص	مءخصا	qalsadi-nouns
اخضر	خضرمءخضراءخضراوات	qalsadi-nouns
اخلاق	خلق	qalsadi-nouns
اخمص	اخماص	qalsadi-nouns
اخير	اخاير	qalsadi-nouns
اداة	ادوات	qalsadi-nouns
ادام	ادم	qalsadi-nouns
ادراج	درج	qalsadi-nouns
ادكن	دكنمءدكناء	qalsadi-nouns
ادنا	مءدنيادنا	qalsadi-nouns
ادهم	دهممءدهماءدهماوات	qalsadi-nouns
اديب	ادباء	qalsadi-nouns
اديب	اديبات	qalsadi-nouns
اديم	ادم	qalsadi-nouns
اديم	ءدمة	qalsadi-nouns
اديم	ءدام	qalsadi-nouns
اذقن	ذقن	qalsadi-nouns
اذلف	ذلفمءذلفاء	qalsadi-nouns
اذن	ءذانمءنثةمثنااذنان	qalsadi-nouns
اذن	اذونالمعجمالوسيط	qalsadi-nouns
اذناب	مفردذنب	qalsadi-nouns
اراكة	واحدةالاراك	qalsadi-nouns
ارب	ءراب	qalsadi-nouns
اربة	ارب	qalsadi-nouns
اربع	عددمفرد	qalsadi-nouns
اربع	معدودهجم	qalsadi-nouns
ارجاء	مفردرجاءمثناهرجوان	qalsadi-nouns
ارجح	اراجح	qalsadi-nouns
ارجح	مءرجحا	qalsadi-nouns
ارجوحة	اراجيح	qalsadi-nouns
ارجوزة	اراجيز	qalsadi-nouns
ارذل	اراذل	qalsadi-nouns
ارزة	ارز	qalsadi-nouns
ارصاد	رصد	qalsadi-nouns
ارض	اراض	qalsadi-nouns
ارض	الاراضي	qalsadi-nouns
ارض	ارضونمء	qalsadi-nouns
ارضة	ارض	qalsadi-nouns
ارعن	رعنمءرعناء	qalsadi-nouns
ارقام	مفردرقم	qalsadi-nouns
ارقش	رقشمءرقشاءرقشاوات	qalsadi-nouns
ارقط	رقطمءرقطاءرقطاوات	qalsadi-nouns
اركان	مفردركن	qalsadi-nouns
ارمد	رمدمءرمداء	qalsadi-nouns
ارمل	ارامل	qalsadi-nouns
ارنب	ارانب	qalsadi-nouns
ارنبة	ارانب	qalsadi-nouns
اروع	روعمءروعاء	qalsadi-nouns
اروق	مءروقاء	qalsadi-nouns
ارومة	اروم	qalsadi-nouns
اروية	اراو	qalsadi-nouns
اروية	الاراوي	qalsadi-nouns
اريج	اراءج	qalsadi-nouns
اريكة	اراءك	qalsadi-nouns
ازار	ازر	qalsadi-nouns
ازرق	زرقمءزرقاءزرقاوات	qalsadi-nouns
ازعر	زعرمءزعراءزعراوات	qalsadi-nouns
ازقة	زقاق	qalsadi-nouns
ازمنة	مفردزمن	qalsadi-nouns
ازميل	ازاميل	qalsadi-nouns
ازهر	زهرمءزهراء	qalsadi-nouns
اس	ءساس	qalsadi-nouns
اسارير	بصيغةالجمع	qalsadi-nouns
اساس	اسس	qalsadi-nouns
اساطين	مفرداسطوانةواسطون	qalsadi-nouns
اسباب	مفردسبب	qalsadi-nouns
اسبق	اسابق	qalsadi-nouns
اسبق	مءسبقا	qalsadi-nouns
اسبوع	اسابيع	qalsadi-nouns
استاذ	اساتذة	qalsadi-nouns
اسد	اسودقديقععلاال	qalsadi-nouns
اسرة	اسر	qalsadi-nouns
اسرع	اسارع	qalsadi-nouns
اسرع	مءسرعا	qalsadi-nouns
اسس	اساس	qalsadi-nouns
اسطوانة	اساطين	qalsadi-nouns
اسطورة	اساطير	qalsadi-nouns
اسطول	اساطيل	qalsadi-nouns
اسفل	اسافل	qalsadi-nouns
اسقف	اساقفة	qalsadi-nouns
اسكاف	اساكفة	qalsadi-nouns
اسلاك	مفردالسلك	qalsadi-nouns
اسلة	واحدةالاسل	qalsadi-nouns
اسلس	اسالس	qalsadi-nouns
اسلس	مءسلسا	qalsadi-nouns
اسلوب	اساليب	qalsadi-nouns
اسم	اسماء	qalsadi-nouns
اسم	جاسامي	qalsadi-nouns
اسم	اسام	qalsadi-nouns
اسمر	سمرمءسمراءسمراوات	qalsadi-nouns
اسوا	مءسواا	qalsadi-nouns
اسوار	اساور	qalsadi-nouns
اسوة	اسا	qalsadi-nouns
اسود	سودمءسوداءسوداوات	qalsadi-nouns
اسير	اسرالايجوزجمعمذكرسالممعن	qalsadi-nouns
اشجع	شجعمءشجعاشجعيات	qalsadi-nouns
اشرس	شرسمءشرساء	qalsadi-nouns
اشرف	شرفمءشرفا	qalsadi-nouns
اشعة	مفردشعاع	qalsadi-nouns
اشعث	شعثمءشعثاء	qalsadi-nouns
اشغال	مفردشغل	qalsadi-nouns
اشقر	شقرمءشقراءشقراوات	qalsadi-nouns
اشل	شلمءشلاء	qalsadi-nouns
اشلاء	مفردشلو	qalsadi-nouns
اشم	شممءشماء	qalsadi-nouns
اشهب	شهبمءشهباءشهباوات	qalsadi-nouns
اشوس	شوس	qalsadi-nouns
اشوس	اشاوسمءشوساء	qalsadi-nouns
اصبع	اصابع	qalsadi-nouns
اصبوحة	اصابيح	qalsadi-nouns
اصدة	اصد	qalsadi-nouns
اصدق	اصادق	qalsadi-nouns
اصدق	مءصدقا	qalsadi-nouns
اصعب	اصاعب	qalsadi-nouns
اصغر	مثنااصغراناصغران	qalsadi-nouns
اصغر	اصاغرمءصغراصغريات	qalsadi-nouns
اصفر	صفرمءصفراءصفراوات	qalsadi-nouns
اصل	اصول	qalsadi-nouns
اصلد	صلدمءصلداء	qalsadi-nouns
اصلع	صلعمءصلعاءصلعاوات	qalsadi-nouns
اصم	صممءصماء	qalsadi-nouns
اصهب	صهبمءصهباءصهباوات	qalsadi-nouns
اصيص	اصص	qalsadi-nouns
اصيل	ءصالجاصل	qalsadi-nouns
اصيل	واصلان	qalsadi-nouns
اصيل	وءص	qalsadi-nouns
اضبارة	اضابير	qalsadi-nouns
اضحوكة	اضاحيك	qalsadi-nouns
اضداد	مفردالضد	qalsadi-nouns
اضغاث	مفردضغث	qalsadi-nouns
اضمامة	اضاميم	qalsadi-nouns
اطار	اطر	qalsadi-nouns
اطحل	طحلمءطحلاء	qalsadi-nouns
اطراف	مفردطرف	qalsadi-nouns
اطرش	طرشمءطرشاءطرشاوات	qalsadi-nouns
اطروحة	اطاريح	qalsadi-nouns
اطمار	مفردطمر	qalsadi-nouns
اطول	اطاولمءطولا	qalsadi-nouns
اطوم	اطم	qalsadi-nouns
اطوم	ءطمة	qalsadi-nouns
اطيب	اطايبمءطوبا	qalsadi-nouns
اعجف	عجافمءعجفاءعجفاوات	qalsadi-nouns
