word	root	singular	plural	source
ءاالهتنا	ءله	ءاالهتنا		quran-word-index-fallback
ءاباء	ءبو	ءاباء		quran-word-index-fallback
ءاباءا	ءبو	ءاباءا		quran-word-index-fallback
ءاباءك	ءبو	ءاباءك		quran-word-index-fallback
ءاباءكم	ءبو	ءاباءكم		quran-word-index-fallback
ءاباءنا	ءبو	ءاباءنا		quran-word-index-fallback
ءاباءهم	ءبو	ءاباءهم		quran-word-index-fallback
ءاباءهن	ءبو	ءاباءهن		quran-word-index-fallback
ءاتا	ءتي	ءاتا		quran-word-index-fallback
ءاتاك	ءتي	ءاتاك		quran-word-index-fallback
ءاتاكم	ءتي	ءاتاكم		quran-word-index-fallback
ءاتان	ءتي	ءاتان		quran-word-index-fallback
ءاتانا	ءتي	ءاتانا		quran-word-index-fallback
ءاتاه	ءتي	ءاتاه		quran-word-index-fallback
ءاتاها	ءتي	ءاتاها		quran-word-index-fallback
ءاتاهم	ءتي	ءاتاهم		quran-word-index-fallback
ءاتاهما	ءتي	ءاتاهما		quran-word-index-fallback
ءاتت	ءتي	ءاتت		quran-word-index-fallback
ءاتخذ	ءخذ	ءاتخذ		quran-word-index-fallback
ءاتنا	ءتي	ءاتنا		quran-word-index-fallback
ءاتهم	ءتي	ءاتهم		quran-word-index-fallback
ءاتوا	ءتي	ءاتوا		quran-word-index-fallback
ءاتونا	ءتي	ءاتونا		quran-word-index-fallback
ءاتوه	ءتي	ءاتوه		quran-word-index-fallback
ءاتية	ءتي	ءاتية		quran-word-index-fallback
ءاتيت	ءتي	ءاتيت		quran-word-index-fallback
ءاتيتك	ءتي	ءاتيتك		quran-word-index-fallback
ءاتيتكم	ءتي	ءاتيتكم		quran-word-index-fallback
ءاتيتم	ءتي	ءاتيتم		quran-word-index-fallback
ءاتيتموهن	ءتي	ءاتيتموهن		quran-word-index-fallback
ءاتيتنا	ءتي	ءاتيتنا		quran-word-index-fallback
ءاتيتهن	ءتي	ءاتيتهن		quran-word-index-fallback
ءاتيك	ءتي	ءاتيك		quran-word-index-fallback
ءاتيكم	ءتي	ءاتيكم		quran-word-index-fallback
ءاتينا	ءتي	ءاتينا		quran-word-index-fallback
ءاتيناك	ءتي	ءاتيناك		quran-word-index-fallback
ءاتيناكم	ءتي	ءاتيناكم		quran-word-index-fallback
ءاتيناه	ءتي	ءاتيناه		quran-word-index-fallback
ءاتيناها	ءتي	ءاتيناها		quran-word-index-fallback
ءاتيناهم	ءتي	ءاتيناهم		quran-word-index-fallback
ءاتيه	ءتي	ءاتيه		quran-word-index-fallback
ءاتيهم	ءتي	ءاتيهم		quran-word-index-fallback
ءاثار	ءثر	ءاثار		quran-word-index-fallback
ءاثارهم	ءثر	ءاثارهم		quran-word-index-fallback
ءاثارهما	ءثر	ءاثارهما		quran-word-index-fallback
ءاثرك	ءثر	ءاثرك		quran-word-index-fallback
ءاثم	ءثم	ءاثم		quran-word-index-fallback
ءاثما	ءثم	ءاثما		quran-word-index-fallback
ءاخذ	ءخذ	ءاخذ		quran-word-index-fallback
ءاخذين	ءخذ	ءاخذين		quran-word-index-fallback
ءاخر	ءخر	ءاخر		quran-word-index-fallback
ءاخران	ءخر	ءاخران		quran-word-index-fallback
ءاخره	ءخر	ءاخره		quran-word-index-fallback
ءاخرون	ءخر	ءاخرون		quran-word-index-fallback
ءاخرين	ءخر	ءاخرين		quran-word-index-fallback
ءاذان	ءذن	ءاذان		quran-word-index-fallback
ءاذاننا	ءذن	ءاذاننا		quran-word-index-fallback
ءاذانهم	ءذن	ءاذانهم		quran-word-index-fallback
ءاذن	ءذن	ءاذن		quran-word-index-fallback
ءاذناك	ءذن	ءاذناك		quran-word-index-fallback
ءاذنتكم	ءذن	ءاذنتكم		quran-word-index-fallback
ءاذوا	ءذي	ءاذوا		quran-word-index-fallback
ءاذيتمونا	ءذي	ءاذيتمونا		quran-word-index-fallback
ءارباب	ربب	ءارباب		quran-word-index-fallback
ءاسا	ءسو	ءاسا		quran-word-index-fallback
ءاسجد	سجد	ءاسجد		quran-word-index-fallback
ءاسفونا	ءسف	ءاسفونا		quran-word-index-fallback
ءاسلمتم	سلم	ءاسلمتم		quran-word-index-fallback
ءاسن	ءسن	ءاسن		quran-word-index-fallback
ءاشفقتم	شفق	ءاشفقتم		quran-word-index-fallback
ءاشكر	شكر	ءاشكر		quran-word-index-fallback
ءاعجما	عجم	ءاعجما		quran-word-index-fallback
ءاقررتم	قرر	ءاقررتم		quran-word-index-fallback
ءال	ءول	ءال		quran-word-index-fallback
ءالاء	ءلو	ءالاء		quran-word-index-fallback
ءالاف	ءلف	ءالاف		quran-word-index-fallback
ءالد	ولد	ءالد		quran-word-index-fallback
ءالذكرين	ذكر	ءالذكرين		quran-word-index-fallback
ءالله	ءله	ءالله		quran-word-index-fallback
ءالهة	ءله	ءالهة		quran-word-index-fallback
ءالهتا	ءله	ءالهتا		quran-word-index-fallback
ءالهتكم	ءله	ءالهتكم		quran-word-index-fallback
ءالهتنا	ءله	ءالهتنا		quran-word-index-fallback
ءالهتهم	ءله	ءالهتهم		quran-word-index-fallback
ءامره	ءمر	ءامره		quran-word-index-fallback
ءامن	ءمن	ءامن		quran-word-index-fallback
ءامنا	ءمن	ءامنا		quran-word-index-fallback
ءامنة	ءمن	ءامنة		quran-word-index-fallback
ءامنت	ءمن	ءامنت		quran-word-index-fallback
ءامنتم	ءمن	ءامنتم		quran-word-index-fallback
ءامنكم	ءمن	ءامنكم		quran-word-index-fallback
ءامنوا	ءمن	ءامنوا		quran-word-index-fallback
ءامنون	ءمن	ءامنون		quran-word-index-fallback
ءامنين	ءمن	ءامنين		quran-word-index-fallback
ءامين	ءمم	ءامين		quran-word-index-fallback
ءان	ءني	ءان		quran-word-index-fallback
ءاناء	ءني	ءاناء		quran-word-index-fallback
ءانذرتهم	نذر	ءانذرتهم		quran-word-index-fallback
ءانس	ءنس	ءانس		quran-word-index-fallback
ءانست	ءنس	ءانست		quran-word-index-fallback
ءانستم	ءنس	ءانستم		quran-word-index-fallback
ءانفا	ءنف	ءانفا		quran-word-index-fallback
ءانية	ءني	ءانية		quran-word-index-fallback
ءاوا	ءوي	ءاوا		quran-word-index-fallback
ءاووا	ءوي	ءاووا		quran-word-index-fallback
ءايات	ءيي	ءايات		quran-word-index-fallback
ءاياتا	ءيي	ءاياتا		quran-word-index-fallback
ءاياتك	ءيي	ءاياتك		quran-word-index-fallback
ءاياتنا	ءيي	ءاياتنا		quran-word-index-fallback
ءاياته	ءيي	ءاياته		quran-word-index-fallback
ءاياتها	ءيي	ءاياتها		quran-word-index-fallback
ءاية	ءيي	ءاية		quran-word-index-fallback
ءايتك	ءيي	ءايتك		quran-word-index-fallback
ءايتين	ءيي	ءايتين		quran-word-index-fallback
ءم	ءمم	ءم		quran-word-index-fallback
