word	root	source
ءاالهتنا	ءله	quranic-corpus-new
ءاباء	ءبو	quranic-corpus-new
ءاباءا	ءبو	quranic-corpus-new
ءاباءك	ءبو	quranic-corpus-new
ءاباءكم	ءبو	quranic-corpus-new
ءاباءنا	ءبو	quranic-corpus-new
ءاباءهم	ءبو	quranic-corpus-new
ءاباءهن	ءبو	quranic-corpus-new
ءاتا	ءتي	quranic-corpus-new
ءاتاك	ءتي	quranic-corpus-new
ءاتاكم	ءتي	quranic-corpus-new
ءاتان	ءتي	quranic-corpus-new
ءاتانا	ءتي	quranic-corpus-new
ءاتاه	ءتي	quranic-corpus-new
ءاتاها	ءتي	quranic-corpus-new
ءاتاهم	ءتي	quranic-corpus-new
ءاتاهما	ءتي	quranic-corpus-new
ءاتت	ءتي	quranic-corpus-new
ءاتخذ	ءخذ	quranic-corpus-new
ءاتنا	ءتي	quranic-corpus-new
ءاتهم	ءتي	quranic-corpus-new
ءاتوا	ءتي	quranic-corpus-new
ءاتونا	ءتي	quranic-corpus-new
ءاتوه	ءتي	quranic-corpus-new
ءاتية	ءتي	quranic-corpus-new
ءاتيت	ءتي	quranic-corpus-new
ءاتيتك	ءتي	quranic-corpus-new
ءاتيتكم	ءتي	quranic-corpus-new
ءاتيتم	ءتي	quranic-corpus-new
ءاتيتموهن	ءتي	quranic-corpus-new
ءاتيتنا	ءتي	quranic-corpus-new
ءاتيتهن	ءتي	quranic-corpus-new
ءاتيك	ءتي	quranic-corpus-new
ءاتيكم	ءتي	quranic-corpus-new
ءاتينا	ءتي	quranic-corpus-new
ءاتيناك	ءتي	quranic-corpus-new
ءاتيناكم	ءتي	quranic-corpus-new
ءاتيناه	ءتي	quranic-corpus-new
ءاتيناها	ءتي	quranic-corpus-new
ءاتيناهم	ءتي	quranic-corpus-new
ءاتيه	ءتي	quranic-corpus-new
ءاتيهم	ءتي	quranic-corpus-new
ءاثار	ءثر	quranic-corpus-new
ءاثارهم	ءثر	quranic-corpus-new
ءاثارهما	ءثر	quranic-corpus-new
ءاثرك	ءثر	quranic-corpus-new
ءاثم	ءثم	quranic-corpus-new
ءاثما	ءثم	quranic-corpus-new
ءاخذ	ءخذ	quranic-corpus-new
ءاخذين	ءخذ	quranic-corpus-new
ءاخر	ءخر	quranic-corpus-new
ءاخران	ءخر	quranic-corpus-new
ءاخره	ءخر	quranic-corpus-new
ءاخرون	ءخر	quranic-corpus-new
ءاخرين	ءخر	quranic-corpus-new
ءاذان	ءذن	quranic-corpus-new
ءاذاننا	ءذن	quranic-corpus-new
ءاذانهم	ءذن	quranic-corpus-new
ءاذن	ءذن	quranic-corpus-new
ءاذناك	ءذن	quranic-corpus-new
ءاذنتكم	ءذن	quranic-corpus-new
ءاذوا	ءذي	quranic-corpus-new
ءاذيتمونا	ءذي	quranic-corpus-new
ءارباب	ربب	quranic-corpus-new
ءاسا	ءسو	quranic-corpus-new
ءاسجد	سجد	quranic-corpus-new
ءاسفونا	ءسف	quranic-corpus-new
ءاسلمتم	سلم	quranic-corpus-new
ءاسن	ءسن	quranic-corpus-new
ءاشفقتم	شفق	quranic-corpus-new
ءاشكر	شكر	quranic-corpus-new
ءاعجما	عجم	quranic-corpus-new
ءاقررتم	قرر	quranic-corpus-new
ءال	ءول	quranic-corpus-new
ءالاء	ءلو	quranic-corpus-new
ءالاف	ءلف	quranic-corpus-new
ءالد	ولد	quranic-corpus-new
ءالذكرين	ذكر	quranic-corpus-new
ءالله	ءله	quranic-corpus-new
ءالهة	ءله	quranic-corpus-new
ءالهتا	ءله	quranic-corpus-new
ءالهتكم	ءله	quranic-corpus-new
ءالهتنا	ءله	quranic-corpus-new
ءالهتهم	ءله	quranic-corpus-new
ءامره	ءمر	quranic-corpus-new
ءامن	ءمن	quranic-corpus-new
ءامنا	ءمن	quranic-corpus-new
ءامنة	ءمن	quranic-corpus-new
ءامنت	ءمن	quranic-corpus-new
ءامنتم	ءمن	quranic-corpus-new
ءامنكم	ءمن	quranic-corpus-new
ءامنوا	ءمن	quranic-corpus-new
ءامنون	ءمن	quranic-corpus-new
ءامنين	ءمن	quranic-corpus-new
ءامين	ءمم	quranic-corpus-new
ءان	ءني	quranic-corpus-new
ءاناء	ءني	quranic-corpus-new
ءانذرتهم	نذر	quranic-corpus-new
ءانس	ءنس	quranic-corpus-new
ءانست	ءنس	quranic-corpus-new
ءانستم	ءنس	quranic-corpus-new
ءانفا	ءنف	quranic-corpus-new
ءانية	ءني	quranic-corpus-new
ءاوا	ءوي	quranic-corpus-new
ءاووا	ءوي	quranic-corpus-new
ءايات	ءيي	quranic-corpus-new
ءاياتا	ءيي	quranic-corpus-new
ءاياتك	ءيي	quranic-corpus-new
ءاياتنا	ءيي	quranic-corpus-new
ءاياته	ءيي	quranic-corpus-new
ءاياتها	ءيي	quranic-corpus-new
ءاية	ءيي	quranic-corpus-new
ءايتك	ءيي	quranic-corpus-new
ءايتين	ءيي	quranic-corpus-new
ءم	ءمم	quranic-corpus-new
اءت	ءتي	quranic-corpus-new
اءتمن	ءمن	quranic-corpus-new
اءتنا	ءتي	quranic-corpus-new
اءتوا	ءتي	quranic-corpus-new
اءتونا	ءتي	quranic-corpus-new
اءتيا	ءتي	quranic-corpus-new
اءذن	ءذن	quranic-corpus-new
اءفكا	ءفك	quranic-corpus-new
اءلاه	ءله	quranic-corpus-new
اءلقا	لقي	quranic-corpus-new
اءمة	ءمم	quranic-corpus-new
اءنبءكم	نبء	quranic-corpus-new
اءنزل	نزل	quranic-corpus-new
ابا	ءبي	quranic-corpus-new
ابا	ءبو	quranic-corpus-new
ابابيل	ءبل	quranic-corpus-new
اباكم	ءبو	quranic-corpus-new
ابالله	ءله	quranic-corpus-new
ابانا	ءبو	quranic-corpus-new
اباه	ءبو	quranic-corpus-new
اباهم	ءبو	quranic-corpus-new
ابتدعوها	بدع	quranic-corpus-new
ابتغا	بغي	quranic-corpus-new
ابتغاء	بغي	quranic-corpus-new
ابتغوا	بغي	quranic-corpus-new
ابتغيت	بغي	quranic-corpus-new
ابتلا	بلو	quranic-corpus-new
ابتلاه	بلو	quranic-corpus-new
ابحر	بحر	quranic-corpus-new
ابدا	ءبد	quranic-corpus-new
ابدله	بدل	quranic-corpus-new
ابرء	برء	quranic-corpus-new
ابرح	برح	quranic-corpus-new
ابرموا	برم	quranic-corpus-new
ابسلوا	بسل	quranic-corpus-new
ابشر	بشر	quranic-corpus-new
ابشرا	بشر	quranic-corpus-new
ابشرتمونا	بشر	quranic-corpus-new
ابصار	بصر	quranic-corpus-new
ابصاركم	بصر	quranic-corpus-new
ابصارنا	بصر	quranic-corpus-new
ابصارها	بصر	quranic-corpus-new
ابصارهم	بصر	quranic-corpus-new
ابصارهن	بصر	quranic-corpus-new
ابصر	بصر	quranic-corpus-new
ابصرنا	بصر	quranic-corpus-new
ابعث	بعث	quranic-corpus-new
ابغا	بغي	quranic-corpus-new
ابغيكم	بغي	quranic-corpus-new
ابق	ءبق	quranic-corpus-new
ابقا	بقي	quranic-corpus-new
ابكارا	بكر	quranic-corpus-new
ابكم	بكم	quranic-corpus-new
ابلعا	بلع	quranic-corpus-new
ابلغ	بلغ	quranic-corpus-new
ابلغتكم	بلغ	quranic-corpus-new
ابلغكم	بلغ	quranic-corpus-new
ابلغه	بلغ	quranic-corpus-new
ابلغوا	بلغ	quranic-corpus-new
ابن	بني	quranic-corpus-new
ابنا	بني	quranic-corpus-new
ابناء	بني	quranic-corpus-new
ابناءا	بني	quranic-corpus-new
ابناءكم	بني	quranic-corpus-new
ابناءنا	بني	quranic-corpus-new
ابناءهم	بني	quranic-corpus-new
ابناءهن	بني	quranic-corpus-new
ابنت	بني	quranic-corpus-new
ابنتا	بني	quranic-corpus-new
ابنك	بني	quranic-corpus-new
ابنه	بني	quranic-corpus-new
ابنوا	بني	quranic-corpus-new
ابواب	بوب	quranic-corpus-new
ابوابا	بوب	quranic-corpus-new
ابوابها	بوب	quranic-corpus-new
ابواه	ءبو	quranic-corpus-new
ابوك	ءبو	quranic-corpus-new
