word	synonym	source
ءب	حار	synonyms-json
ءب	رجع	synonyms-json
ءب	ارتد	synonyms-json
ءب	عاد	synonyms-json
ءب	فاء	synonyms-json
ءب	انقلب	synonyms-json
ءب	نكص	synonyms-json
ءتا	اءتلا	synonyms-json
ءتا	حلف	synonyms-json
ءتا	اقسم	synonyms-json
ءتا	يمين	synonyms-json
ءثر	اختار	synonyms-json
ءثر	اصطفا	synonyms-json
ءثر	فضل	synonyms-json
ءذن	اعلم	synonyms-json
ءل	اهل	synonyms-json
ءل	ذرية	synonyms-json
ءناء	ساعات	synonyms-json
ءنس	ابصر	synonyms-json
ءنس	رءا	synonyms-json
ءنس	نظر	synonyms-json
ءنية	سقاية	synonyms-json
ءنية	صحاف	synonyms-json
ءنية	صواع	synonyms-json
ءية	سمة	synonyms-json
ءية	علامة	synonyms-json
اءتلا	ءتا	synonyms-json
اءتلا	حلف	synonyms-json
اءتلا	اقسم	synonyms-json
اءتلا	يمين	synonyms-json
اب	والد	synonyms-json
ابتاس	اسي	synonyms-json
ابتاس	بث	synonyms-json
ابتاس	حزن	synonyms-json
ابتاس	كرب	synonyms-json
ابتغا	اراد	synonyms-json
ابتغا	شاء	synonyms-json
ابتغا	اصاب	synonyms-json
ابتلاء	اختبار	synonyms-json
ابتلاء	غرام	synonyms-json
ابتلاء	تمحيص	synonyms-json
ابصر	ءنس	synonyms-json
ابصر	رءا	synonyms-json
ابصر	نظر	synonyms-json
ابق	فر	synonyms-json
ابق	ناص	synonyms-json
ابق	هرب	synonyms-json
ابل	عير	synonyms-json
ابلغ	ادا	synonyms-json
ابلغ	اوصل	synonyms-json
ابليس	جبت	synonyms-json
ابليس	شيطان	synonyms-json
ابن	ولد	synonyms-json
اتا	جاء	synonyms-json
اتا	حضر	synonyms-json
اتا	اقبل	synonyms-json
اتبع	تبع	synonyms-json
اتبع	قص	synonyms-json
اتبع	قفا	synonyms-json
اتبع	لحق	synonyms-json
اثبت	حبس	synonyms-json
اثبت	احصر	synonyms-json
اثبت	سجن	synonyms-json
اثبت	عكف	synonyms-json
اثبت	عضل	synonyms-json
اثم	جرم	synonyms-json
اثم	حنث	synonyms-json
اثم	حوب	synonyms-json
اثم	ذنب	synonyms-json
اثم	خطيءة	synonyms-json
اثم	معصية	synonyms-json
اثم	عنت	synonyms-json
اثم	وزر	synonyms-json
اجتماع	لقاء	synonyms-json
اجذاع	اعجاز	synonyms-json
اجر	ثواب	synonyms-json
اجر	جزاء	synonyms-json
اجر	حساب	synonyms-json
اجر	دين	synonyms-json
اجل	امد	synonyms-json
اجل	عمر	synonyms-json
احصر	اثبت	synonyms-json
احصر	حبس	synonyms-json
احصر	سجن	synonyms-json
احصر	عكف	synonyms-json
احصر	عضل	synonyms-json
اخبت	خشع	synonyms-json
اخبت	خضع	synonyms-json
اخبت	نزل	synonyms-json
اخبت	هبط	synonyms-json
اخبر	اعلم	synonyms-json
اخبر	انبا	synonyms-json
اختار	ءثر	synonyms-json
اختار	اصطفا	synonyms-json
اختار	فضل	synonyms-json
اختبار	ابتلاء	synonyms-json
اختبار	غرام	synonyms-json
اختبار	تمحيص	synonyms-json
اختلاط	افك	synonyms-json
اختلاط	بهتان	synonyms-json
اختلاط	خرص	synonyms-json
اختلاط	شطط	synonyms-json
اختلاط	ظاهر	synonyms-json
اختلاط	القول	synonyms-json
اختلاط	فاحشة	synonyms-json
اختلاط	افتراء	synonyms-json
اختلاط	كذب	synonyms-json
اخذ	سفع	synonyms-json
اخر	نسا	synonyms-json
اخطا	مال	synonyms-json
اخفا	اسر	synonyms-json
اخفا	كتم	synonyms-json
اخفا	اكن	synonyms-json
ادا	ابلغ	synonyms-json
ادا	اوصل	synonyms-json
ادبر	عسعس	synonyms-json
اراد	كاد	synonyms-json
ارب	حاجة	synonyms-json
ارتد	ءب	synonyms-json
ارتد	حار	synonyms-json
ارتد	رجع	synonyms-json
ارتد	عاد	synonyms-json
ارتد	فاء	synonyms-json
ارتد	انقلب	synonyms-json
ارتد	نكص	synonyms-json
ارتقب	تربص	synonyms-json
ارتقب	انتظر	synonyms-json
ارسل	بعث	synonyms-json
ارشد	هدا	synonyms-json
ازواج	نساء	synonyms-json
اسباط	قباءل	synonyms-json
استطاعة	طاقة	synonyms-json
استطاعة	قبل	synonyms-json
استطاعة	قوة	synonyms-json
استطاعة	قدرة	synonyms-json
استطاعة	مرة	synonyms-json
استهزاء	سخرية	synonyms-json
استهزاء	تفنيد	synonyms-json
اسر	اخفا	synonyms-json
اسر	كتم	synonyms-json
اسر	اكن	synonyms-json
اسرع	بادر	synonyms-json
اسرع	قصد	synonyms-json
اسرع	اهطع	synonyms-json
اسرع	اوفض	synonyms-json
اسرف	بذر	synonyms-json
اسف	غضب	synonyms-json
اسي	ابتاس	synonyms-json
اسي	بث	synonyms-json
اسي	حزن	synonyms-json
اسي	كرب	synonyms-json
اشترا	باع	synonyms-json
اشعل	سجر	synonyms-json
اشعل	سعر	synonyms-json
اشعل	اوقد	synonyms-json
اشماز	نفر	synonyms-json
اصاب	ابتغا	synonyms-json
اصاب	اراد	synonyms-json
اصاب	شاء	synonyms-json
اصر	بيعة	synonyms-json
اصر	عقد	synonyms-json
اصر	عهد	synonyms-json
اصر	ميثاق	synonyms-json
اصطفا	ءثر	synonyms-json
اصطفا	اختار	synonyms-json
اصطفا	فضل	synonyms-json
اصفاد	اغلال	synonyms-json
اطاع	اوب	synonyms-json
اطفا	خمد	synonyms-json
اطلع	اظهر	synonyms-json
اطلع	عثر	synonyms-json
اطوار	الوان	synonyms-json
اظلم	اغطش	synonyms-json
اظهر	اطلع	synonyms-json
اعترف	اقر	synonyms-json
اعجاز	اجذاع	synonyms-json
اعرض	صدف	synonyms-json
اعطا	ءتا	synonyms-json
اعلم	اخبر	synonyms-json
اعلم	انبا	synonyms-json
اعياء	لغوب	synonyms-json
اعياء	نصب	synonyms-json
اغطش	اظلم	synonyms-json
اغلال	اصفاد	synonyms-json
افءدة	ركبان	synonyms-json
افتراء	افك	synonyms-json
افتراء	بهتان	synonyms-json
افتراء	خرص	synonyms-json
افتراء	اختلاط	synonyms-json
افتراء	شطط	synonyms-json
افتراء	ظاهر	synonyms-json
افتراء	القول	synonyms-json
افتراء	فاحشة	synonyms-json
افتراء	كذب	synonyms-json
افسدها	دساها	synonyms-json
افضا	رفث	synonyms-json
افك	بهتان	synonyms-json
افك	خرص	synonyms-json
افك	اختلاط	synonyms-json
افك	شطط	synonyms-json
افك	ظاهر	synonyms-json
افك	القول	synonyms-json
افك	فاحشة	synonyms-json
افك	افتراء	synonyms-json
افك	كذب	synonyms-json
افل	عزب	synonyms-json
افل	غاب	synonyms-json
افيضوا	انفروا	synonyms-json
اقبل	اتا	synonyms-json
اقبل	جاء	synonyms-json
اقبل	حضر	synonyms-json
اقت	جمع	synonyms-json
اقت	ركم	synonyms-json
اقت	سجر	synonyms-json
