word	vocalized	type	category	source
ء	ئ	حرف	كلمات شائعة	compiled-forms-derived
ءب	آب	حرف	كلمات شائعة	compiled-forms-derived
ءخر	آخر	حرف	كلمات شائعة	compiled-forms-derived
ءذار	آذار	حرف	كلمات شائعة	compiled-forms-derived
ءض	آض	حرف	كلمات شائعة	compiled-forms-derived
ءل	آل	حرف	كلمات شائعة	compiled-forms-derived
ءمين	آمين	حرف	كلمات شائعة	compiled-forms-derived
ءنءذ	آنَئِذ	اسم	ظرف زمان	compiled-forms-derived
ءناء	آناء	حرف	كلمات شائعة	compiled-forms-derived
ءنذاك	آنَذَاك	اسم	ظرف زمان	compiled-forms-derived
ءنفا	آنفا	حرف	كلمات شائعة	compiled-forms-derived
ءه	آه	حرف	كلمات شائعة	compiled-forms-derived
ءها	آهاً	حرف	كلمات شائعة	compiled-forms-derived
ءي	آي	حرف	كلمات شائعة	compiled-forms-derived
ا	ى	حرف	كلمات شائعة	compiled-forms-derived
اا	إى	حرف	كلمات شائعة	compiled-forms-derived
ااجمع	أَأَجْمَع	اسم	توكيد	compiled-forms-derived
ااجمعك	أَأَجْمَعكِ	اسم	توكيد	compiled-forms-derived
ااجمعكم	أَأَجْمَعكُمْ	اسم	توكيد	compiled-forms-derived
ااجمعكما	أَأَجْمَعكُمَا	اسم	توكيد	compiled-forms-derived
ااجمعكن	أَأَجْمَعكُنَّ	اسم	توكيد	compiled-forms-derived
ااجمعنا	أَأَجْمَعنَا	اسم	توكيد	compiled-forms-derived
ااجمعه	أَأَجْمَعهُ	اسم	توكيد	compiled-forms-derived
ااجمعها	أَأَجْمَعهَا	اسم	توكيد	compiled-forms-derived
ااجمعهم	أَأَجْمَعهُمْ	اسم	توكيد	compiled-forms-derived
ااجمعهما	أَأَجْمَعهُمَا	اسم	توكيد	compiled-forms-derived
ااجمعهن	أَأَجْمَعهُنَّ	اسم	توكيد	compiled-forms-derived
ااجمعي	أَأَجْمَعِي	اسم	توكيد	compiled-forms-derived
االا	االا	حرف	كلمات شائعة	compiled-forms-derived
االتا	االتى	حرف	كلمات شائعة	compiled-forms-derived
االي	أَإِلَيَّ	حرف	حرف جر	compiled-forms-derived
االيك	أَإِلَيْكِ	حرف	حرف جر	compiled-forms-derived
االيكم	أَإِلَيْكُمْ	حرف	حرف جر	compiled-forms-derived
االيكما	أَإِلَيْكُمَا	حرف	حرف جر	compiled-forms-derived
االيكن	أَإِلَيْكُنَّ	حرف	حرف جر	compiled-forms-derived
االينا	أَإِلَيْنَا	حرف	حرف جر	compiled-forms-derived
االيه	أَإِلَيْهُ	حرف	حرف جر	compiled-forms-derived
االيها	أَإِلَيْهَا	حرف	حرف جر	compiled-forms-derived
االيهم	أَإِلَيْهُمْ	حرف	حرف جر	compiled-forms-derived
االيهما	أَإِلَيْهُمَا	حرف	حرف جر	compiled-forms-derived
االيهن	أَإِلَيْهُنَّ	حرف	حرف جر	compiled-forms-derived
اامام	أَأَمَامِ	اسم	ظرف مكان	compiled-forms-derived
اامامك	أَأَمَامِكِ	اسم	ظرف مكان	compiled-forms-derived
اامامكم	أَأَمَامِكُمْ	اسم	ظرف مكان	compiled-forms-derived
اامامكما	أَأَمَامِكُمَا	اسم	ظرف مكان	compiled-forms-derived
اامامكن	أَأَمَامِكُنَّ	اسم	ظرف مكان	compiled-forms-derived
اامامنا	أَأَمَامِنَا	اسم	ظرف مكان	compiled-forms-derived
اامامه	أَأَمَامِهِ	اسم	ظرف مكان	compiled-forms-derived
اامامها	أَأَمَامِهَا	اسم	ظرف مكان	compiled-forms-derived
اامامهم	أَأَمَامِهِمْ	اسم	ظرف مكان	compiled-forms-derived
اامامهما	أَأَمَامِهِمَا	اسم	ظرف مكان	compiled-forms-derived
اامامهن	أَأَمَامِهِنَّ	اسم	ظرف مكان	compiled-forms-derived
اامامي	أَأَمَامِِي	اسم	ظرف مكان	compiled-forms-derived
اان	أَإِنّ	حرف	إن و أخواتها	compiled-forms-derived
اانا	أَأَنَّا	حرف	ناصب ومنصوب	compiled-forms-derived
ااناك	أَأَنَّاكِ	حرف	ناصب ومنصوب	compiled-forms-derived
ااناكم	أَأَنَّاكُمْ	حرف	ناصب ومنصوب	compiled-forms-derived
ااناكما	أَأَنَّاكُمَا	حرف	ناصب ومنصوب	compiled-forms-derived
ااناكن	أَأَنَّاكُنَّ	حرف	ناصب ومنصوب	compiled-forms-derived
اانانا	أَأَنَّانَا	حرف	ناصب ومنصوب	compiled-forms-derived
ااناه	أَأَنَّاهُ	حرف	ناصب ومنصوب	compiled-forms-derived
ااناها	أَأَنَّاهَا	حرف	ناصب ومنصوب	compiled-forms-derived
ااناهم	أَأَنَّاهُمْ	حرف	ناصب ومنصوب	compiled-forms-derived
ااناهما	أَأَنَّاهُمَا	حرف	ناصب ومنصوب	compiled-forms-derived
