word	vocalized	type	category	lemma	stem	tags	source
ء	آ	حرف	كلمات شائعة	ء	ء		stopwords-kalimat-extra
ء	ئ	حرف ابجدي	حرف ابجدي	ء	ء		stopwords-kalimat-forms
ء	ئ	حرف	كلمات شائعة	ء	ء		stopwords-kalimat-list
ءب	آب	حرف	كلمات شائعة	ءب	ءب		stopwords-kalimat-json
ءب	آب	حرف	كلمات شائعة	ءب	ءب		stopwords-kalimat-list
ءب	آب	حرف	كلمات شائعة	ءب	ءب		stopwords-kalimat-plain
ءخر	آخر	حرف	كلمات شائعة	ءخر	ءخر		stopwords-kalimat-list
ءذار	آذار	حرف	كلمات شائعة	ءذار	ءذار		stopwords-kalimat-json
ءذار	آذار	حرف	كلمات شائعة	ءذار	ءذار		stopwords-kalimat-list
ءذار	آذار	حرف	كلمات شائعة	ءذار	ءذار		stopwords-kalimat-plain
ءض	آض	حرف	كلمات شائعة	ءض	ءض		stopwords-kalimat-extra
ءض	آض	فعل	كان و أخواتها	ءض	ءض		stopwords-kalimat-forms
ءض	آض	حرف	كلمات شائعة	ءض	ءض		stopwords-kalimat-json
ءض	آض	حرف	كلمات شائعة	ءض	ءض		stopwords-kalimat-list
ءض	آض	حرف	كلمات شائعة	ءض	ءض		stopwords-kalimat-plain
ءل	آل	حرف	كلمات شائعة	ءل	ءل		stopwords-kalimat-list
ءمين	آمين	حرف	كلمات شائعة	ءمين	ءمين		stopwords-kalimat-extra
ءمين	آمِين	اسم فعل	اسم فعل	ءمين	ءمين		stopwords-kalimat-forms
ءمين	آمين	حرف	كلمات شائعة	ءمين	ءمين		stopwords-kalimat-json
ءمين	آمينَ	حرف	كلمات شائعة	ءمين	ءمين		stopwords-kalimat-list
ءمين	آمين	حرف	كلمات شائعة	ءمين	ءمين		stopwords-kalimat-plain
ءنءذ	آنَئِذ	اسم	ظرف زمان	ءنءذ	ءنءذ		stopwords-kalimat-forms
ءناء	آناء	حرف	كلمات شائعة	ءناء	ءناء		stopwords-kalimat-extra
ءناء	آنَاء	اسم	ظرف زمان	ءناء	ءناء		stopwords-kalimat-forms
ءناء	آناء	حرف	كلمات شائعة	ءناء	ءناء		stopwords-kalimat-json
ءناء	آناء	حرف	كلمات شائعة	ءناء	ءناء		stopwords-kalimat-list
ءناء	آناء	حرف	كلمات شائعة	ءناء	ءناء		stopwords-kalimat-plain
ءنذاك	آنَذَاك	اسم	ظرف زمان	ءنذاك	ءنذاك		stopwords-kalimat-forms
ءنفا	آنفا	حرف	كلمات شائعة	ءنفا	ءنفا		stopwords-kalimat-extra
ءنفا	آنِفا	اسم	ظرف زمان	ءنفا	ءنفا		stopwords-kalimat-forms
ءنفا	آنفا	حرف	كلمات شائعة	ءنفا	ءنفا		stopwords-kalimat-json
ءنفا	آنفا	حرف	كلمات شائعة	ءنفا	ءنفا		stopwords-kalimat-list
ءنفا	آنفا	حرف	كلمات شائعة	ءنفا	ءنفا		stopwords-kalimat-plain
ءه	آه	حرف	كلمات شائعة	ءه	ءه		stopwords-kalimat-extra
ءه	آه	اسم فعل	اسم فعل	ءه	ءه		stopwords-kalimat-forms
ءه	آه	حرف	كلمات شائعة	ءه	ءه		stopwords-kalimat-json
ءه	آهِ	حرف	كلمات شائعة	ءه	ءه		stopwords-kalimat-list
ءه	آه	حرف	كلمات شائعة	ءه	ءه		stopwords-kalimat-plain
ءها	آها	حرف	كلمات شائعة	ءها	ءها		stopwords-kalimat-extra
ءها	آها	اسم فعل	اسم صوت	ءها	ءها		stopwords-kalimat-forms
ءها	آهاً	حرف	كلمات شائعة	ءها	ءها		stopwords-kalimat-list
ءي	آي	حرف	كلمات شائعة	ءي	ءي		stopwords-kalimat-extra
ا	ى	حرف	كلمات شائعة	ا	ا		stopwords-kalimat-extra
ا	ى	حرف ابجدي	حرف ابجدي	ا	ا		stopwords-kalimat-forms
ا	ى	حرف	كلمات شائعة	ا	ا		stopwords-kalimat-list
اا	إى	حرف	كلمات شائعة	اا	اا		stopwords-kalimat-json
اا	ا?ى	حرف	كلمات شائعة	اا	اا		stopwords-kalimat-list
اا	إى	حرف	كلمات شائعة	اا	اا		stopwords-kalimat-plain
ااجمع	أأجمع	حرف	كلمات شائعة	ااجمع	ااجمع		stopwords-kalimat-extra
ااجمع	أَأَجْمَع	اسم	توكيد	اجمع	اجمع	استفهام	stopwords-kalimat-forms
ااجمعك	أأجمعك	حرف	كلمات شائعة	ااجمعك	ااجمعك		stopwords-kalimat-extra
ااجمعك	أَأَجْمَعكِ	اسم	توكيد	اجمع	اجمع	استفهام:مضاف	stopwords-kalimat-forms
ااجمعكم	أأجمعكم	حرف	كلمات شائعة	ااجمعكم	ااجمعكم		stopwords-kalimat-extra
ااجمعكم	أَأَجْمَعكُمْ	اسم	توكيد	اجمع	اجمع	استفهام:مضاف	stopwords-kalimat-forms
ااجمعكما	أأجمعكما	حرف	كلمات شائعة	ااجمعكما	ااجمعكما		stopwords-kalimat-extra
ااجمعكما	أَأَجْمَعكُمَا	اسم	توكيد	اجمع	اجمع	استفهام:مضاف	stopwords-kalimat-forms
ااجمعكن	أأجمعكن	حرف	كلمات شائعة	ااجمعكن	ااجمعكن		stopwords-kalimat-extra
ااجمعكن	أَأَجْمَعكُنَّ	اسم	توكيد	اجمع	اجمع	استفهام:مضاف	stopwords-kalimat-forms
