word	root	source
ءب	اوب	qalsadi-verbs
ءتا	اتي	qalsadi-verbs
ءثر	اثر	qalsadi-verbs
ءثم	اثم	qalsadi-verbs
ءجر	اجر	qalsadi-verbs
ءخا	اخو	qalsadi-verbs
ءخذ	اخذ	qalsadi-verbs
ءد	اود	qalsadi-verbs
ءدب	ادب	qalsadi-verbs
ءذا	ءذا	qalsadi-verbs
ءذن	اذن	qalsadi-verbs
ءرق	ارق	qalsadi-verbs
ءزر	ازر	qalsadi-verbs
ءزف	ازف	qalsadi-verbs
ءس	ايس	qalsadi-verbs
ءسا	اسي،اسو	qalsadi-verbs
ءسف	جذر	qalsadi-verbs
ءض	اضض	qalsadi-verbs
ءف	اوف	qalsadi-verbs
ءكد	اكد	qalsadi-verbs
ءكل	اكل	qalsadi-verbs
ءل	اول	qalsadi-verbs
ءلا	الي	qalsadi-verbs
ءلف	الف	qalsadi-verbs
ءلم	الم	qalsadi-verbs
ءمر	امر	qalsadi-verbs
ءمن	امن	qalsadi-verbs
ءن	اون	qalsadi-verbs
ءن	اين	qalsadi-verbs
ءنث	انث	qalsadi-verbs
ءنس	انس	qalsadi-verbs
ءنض	انض	qalsadi-verbs
ءنف	انف	qalsadi-verbs
ءنق	انق	qalsadi-verbs
ءوا	اوي	qalsadi-verbs
اءتام	ايم	qalsadi-verbs
اءتثر	اثر	qalsadi-verbs
اءتزر	ازر	qalsadi-verbs
اءتض	اضض	qalsadi-verbs
اءتكل	اكل	qalsadi-verbs
اءتلا	الو	qalsadi-verbs
اءتلف	الف	qalsadi-verbs
اءتلق	الق	qalsadi-verbs
اءتمر	امر	qalsadi-verbs
اءتمن	امن	qalsadi-verbs
ابا	ابا	qalsadi-verbs
ابا	ابو	qalsadi-verbs
ابا	ابي	qalsadi-verbs
ابات	بات	qalsadi-verbs
اباح	بوح	qalsadi-verbs
اباد	بيد	qalsadi-verbs
ابان	بين	qalsadi-verbs
ابتاس	باس	qalsadi-verbs
ابتاع	بيع	qalsadi-verbs
ابتدا	بدا	qalsadi-verbs
ابتدع	بدع	qalsadi-verbs
ابتذل	بذل	qalsadi-verbs
ابتز	بزز	qalsadi-verbs
ابتسم	بسم	qalsadi-verbs
ابتعث	جذر	qalsadi-verbs
ابتعد	بعد	qalsadi-verbs
ابتغا	بغي	qalsadi-verbs
ابتكر	بكر	qalsadi-verbs
ابتل	بلل	qalsadi-verbs
ابتلا	بلي	qalsadi-verbs
ابتلع	بلع	qalsadi-verbs
ابتنا	بني	qalsadi-verbs
ابتهج	بهج	qalsadi-verbs
ابتهل	بهل	qalsadi-verbs
ابحر	بحر	qalsadi-verbs
ابدا	بدو	qalsadi-verbs
ابدا	جذر	qalsadi-verbs
ابدع	بدع	qalsadi-verbs
ابدل	جذر	qalsadi-verbs
ابذا	بذا	qalsadi-verbs
ابر	برر	qalsadi-verbs
ابرا	برا	qalsadi-verbs
ابرح	برخ	qalsadi-verbs
ابرز	برز	qalsadi-verbs
ابرق	برق	qalsadi-verbs
ابرم	برم	qalsadi-verbs
ابشر	بشر	qalsadi-verbs
ابشم	بشم	qalsadi-verbs
ابصر	بصر	qalsadi-verbs
ابطا	بطا	qalsadi-verbs
ابطر	بطر	qalsadi-verbs
ابطل	بطل	qalsadi-verbs
ابعد	بعد	qalsadi-verbs
ابغا	بغي	qalsadi-verbs
ابغض	بغض	qalsadi-verbs
ابقا	بقي	qalsadi-verbs
ابكا	بكي	qalsadi-verbs
ابكر	بكر	qalsadi-verbs
ابل	بلل	qalsadi-verbs
ابلا	بلي	qalsadi-verbs
ابلج	بلج	qalsadi-verbs
ابلغ	بلغ	qalsadi-verbs
ابه	ابه	qalsadi-verbs
ابها	بهي	qalsadi-verbs
ابهج	بهج	qalsadi-verbs
ابهر	بهر	qalsadi-verbs
ابهظ	بهظ	qalsadi-verbs
ابهم	بهم	qalsadi-verbs
ابي	ابي	qalsadi-verbs
ابيض	بيض	qalsadi-verbs
ات	اتت	qalsadi-verbs
اتا	اتي	qalsadi-verbs
اتاح	تيح	qalsadi-verbs
اتبع	تبع	qalsadi-verbs
اتجر	تجر،وجر	qalsadi-verbs
اتجر	تجر	qalsadi-verbs
اتجه	وجه	qalsadi-verbs
اتحد	احد،وحد	qalsadi-verbs
اتحف	تحف	qalsadi-verbs
اتخذ	اخذ	qalsadi-verbs
اتخم	تخم،وخم	qalsadi-verbs
اترح	ترح	qalsadi-verbs
اترع	ترع	qalsadi-verbs
اترف	ترف	qalsadi-verbs
اتزر	ازر	qalsadi-verbs
اتزن	وزن	qalsadi-verbs
اتسخ	وسخ	qalsadi-verbs
اتسع	وسع	qalsadi-verbs
اتسق	وسق	qalsadi-verbs
اتسم	وسم	qalsadi-verbs
اتشح	وشح	qalsadi-verbs
اتصف	وصف	qalsadi-verbs
اتصل	وصل	qalsadi-verbs
اتضح	وضح	qalsadi-verbs
اتعب	تعب	qalsadi-verbs
اتعظ	وعظ	qalsadi-verbs
اتفق	وفق	qalsadi-verbs
اتقا	وقي	qalsadi-verbs
اتقد	وقد	qalsadi-verbs
اتقن	تقن	qalsadi-verbs
