word_with_harakat	unvocalized	unmarked	root	kind	source
آبَ	ءب	ءب	ءءب	صحيح	qutrub
آبَى	ءبا	ءبا	ءابا	"ناقص يائي"	qutrub
آباء	ءباء	اب	ابو	derived	sarf-derivations
آبائك	ءباءك	اب	ابو	derived	sarf-derivations
آبائكم	ءباءكم	اب	ابو	derived	sarf-derivations
آبائنا	ءباءنا	اب	ابو	derived	sarf-derivations
آبائهم	ءباءهم	اب	ابو	derived	sarf-derivations
آبائهن	ءباءهن	اب	ابو	derived	sarf-derivations
آبائي	ءباءي	اب	ابو	derived	sarf-derivations
آبَلَ	ءبل	ءبل	ءابل	صحيح	qutrub
آتَى	ءتا	ءتا	ءاتا	"ناقص يائي"	qutrub
آتاك	ءتاك	ءتا	اتي	derived	sarf-derivations
آتاكم	ءتاكم	ءتا	اتي	derived	sarf-derivations
آتانا	ءتانا	ءتا	اتي	derived	sarf-derivations
آتاني	ءتاني	ءتا	اتي	derived	sarf-derivations
آتاه	ءتاه	ءتا	اتي	derived	sarf-derivations
آتاها	ءتاها	ءتا	اتي	derived	sarf-derivations
آتاهم	ءتاهم	ءتا	اتي	derived	sarf-derivations
آتاهما	ءتاهما	ءتا	اتي	derived	sarf-derivations
آتت	ءتت	ءتا	اتي	derived	sarf-derivations
آتَنَ	ءتن	ءتن	ءاتن	صحيح	qutrub
آتنا	ءتنا	ءتا	اتي	derived	sarf-derivations
آتهم	ءتهم	ءتا	اتي	derived	sarf-derivations
آتوا	ءتوا	ءتا	اتي	derived	sarf-derivations
آتوني	ءتوني	ءتا	اتي	derived	sarf-derivations
آتوه	ءتوه	ءتا	اتي	derived	sarf-derivations
آتي	ءتي	ءتي	اتي	derived	sarf-derivations
آتِي	ءتي	اتا	اتا	Subject	asmai-derivations
آتية	ءتية	ءتية	اتي	derived	sarf-derivations
آتيت	ءتيت	ءتا	اتي	derived	sarf-derivations
آتيتك	ءتيتك	ءتا	اتي	derived	sarf-derivations
آتيتكم	ءتيتكم	ءتا	اتي	derived	sarf-derivations
آتيتم	ءتيتم	ءتا	اتي	derived	sarf-derivations
آتيتموهن	ءتيتموهن	ءتا	اتي	derived	sarf-derivations
آتيتنا	ءتيتنا	ءتا	اتي	derived	sarf-derivations
آتيتني	ءتيتني	ءتا	اتي	derived	sarf-derivations
آتيتهن	ءتيتهن	ءتا	اتي	derived	sarf-derivations
آتيك	ءتيك	ءتا	اتي	derived	sarf-derivations
آتيكم	ءتيكم	ءتا	اتي	derived	sarf-derivations
آتينا	ءتينا	ءتا	اتي	derived	sarf-derivations
آتيناك	ءتيناك	ءتا	اتي	derived	sarf-derivations
آتيناكم	ءتيناكم	ءتا	اتي	derived	sarf-derivations
آتيناه	ءتيناه	ءتا	اتي	derived	sarf-derivations
آتيناها	ءتيناها	ءتا	اتي	derived	sarf-derivations
آتيناهم	ءتيناهم	ءتا	اتي	derived	sarf-derivations
آتيه	ءتيه	ءتا	اتي	derived	sarf-derivations
آتيهم	ءتيهم	ءتا	اتي	derived	sarf-derivations
آثَى	ءثا	ءثا	ءاثا	"ناقص يائي"	qutrub
آثار	ءثار	اثر	اثر	derived	sarf-derivations
آثارهم	ءثارهم	اثر	اثر	derived	sarf-derivations
آثارهما	ءثارهما	اثر	اثر	derived	sarf-derivations
آثَرَ	ءثر	ءثر	ءاثر	صحيح	qutrub
آثرك	ءثرك	ءثر	اثر	derived	sarf-derivations
آثَفَ	ءثف	ءثف	ءاثف	صحيح	qutrub
آثَمَ	ءثم	ءثم	ءاثم	صحيح	qutrub
آثم	ءثم	ءثم	اثم	derived	sarf-derivations
آثِمٌ	ءثم	اثم	اثم	Subject	asmai-derivations
آثما	ءثما	ءثم	اثم	derived	sarf-derivations
آجَجَ	ءجج	ءجج	ءاجج	صحيح	qutrub
آجَدَ	ءجد	ءجد	ءاجد	صحيح	qutrub
آجَرَ	ءجر	ءجر	ءاجر	صحيح	qutrub
آجَلَ	ءجل	ءجل	ءاجل	صحيح	qutrub
آجَمَ	ءجم	ءجم	ءاجم	صحيح	qutrub
آحَنَ	ءحن	ءحن	ءاحن	صحيح	qutrub
آخَى	ءخا	ءخا	ءاخا	"ناقص يائي"	qutrub
آخَذَ	ءخذ	ءخذ	ءاخذ	صحيح	qutrub
آخذ	ءخذ	ءخذ	اخذ	derived	sarf-derivations
آخذين	ءخذين	ءخذ	اخذ	derived	sarf-derivations
آخر	ءخر	ءخر	اخر	derived	sarf-derivations
آخران	ءخران	ءخر	اخر	derived	sarf-derivations
آخره	ءخره	ءخر	اخر	derived	sarf-derivations
آخرون	ءخرون	ءخر	اخر	derived	sarf-derivations
آخرين	ءخرين	ءخر	اخر	derived	sarf-derivations
آدَ	ءد	ءد	ءءد	صحيح	qutrub
آدَى	ءدا	ءدا	ءادا	"ناقص يائي"	qutrub
آدَبَ	ءدب	ءدب	ءادب	صحيح	qutrub
آدَمَ	ءدم	ءدم	ءادم	صحيح	qutrub
آدم	ءدم	ءدم	ءدم	derived	sarf-derivations
آذَى	ءذا	ءذا	ءاذا	"ناقص يائي"	qutrub
آذان	ءذان	اذن	اذن	derived	sarf-derivations
آذاننا	ءذاننا	اذن	اذن	derived	sarf-derivations
آذانهم	ءذانهم	اذن	اذن	derived	sarf-derivations
آذَنَ	ءذن	ءذن	ءاذن	صحيح	qutrub
آذن	ءذن	ءذن	اذن	derived	sarf-derivations
آذناك	ءذناك	ءذن	اذن	derived	sarf-derivations
آذنتكم	ءذنتكم	ءذن	اذن	derived	sarf-derivations
آذوا	ءذوا	ءذا	اذي	derived	sarf-derivations
آذيتمونا	ءذيتمونا	ءذا	اذي	derived	sarf-derivations
آرَى	ءرا	ءرا	ءارا	"ناقص يائي"	qutrub
آرَبَ	ءرب	ءرب	ءارب	صحيح	qutrub
آرَسَ	ءرس	ءرس	ءارس	صحيح	qutrub
آرَطَ	ءرط	ءرط	ءارط	صحيح	qutrub
آرَفَ	ءرف	ءرف	ءارف	صحيح	qutrub
آرَقَ	ءرق	ءرق	ءارق	صحيح	qutrub
آرَنَ	ءرن	ءرن	ءارن	صحيح	qutrub
