	verb	transitive	Table-base	unvocalized	unmarked	normalized	stamp	length	salim	weak
0	أَبَأَ	م	61	أبأ	أبأ	ءبء	ب	3	مهموز	صحيح
1	أَبَّ	ل/م	58	أب	أبّ	ءب	ب	3	مضعف مهموز	صحيح
2	تَأَبَّبَ	ل	126	تأبب	تأبّب	تءبب	تب	5	مضعف مهموز	صحيح
3	اِئْتَبَّ	ل	115	ائتب	ائتبّ	اءتب	تب	5	مضعف مهموز	صحيح
4	اِسْتَأَبَّ	م	130	استأب	استأبّ	استءب	ستب	6	مضعف مهموز	صحيح
5	أَبِتَ	ل	56	أبت	أبت	ءبت	بت	3	مهموز	صحيح
6	أَبَدَ	ل	53	أبد	أبد	ءبد	بد	3	مهموز	صحيح
7	أَبِدَ	ل	56	أبد	أبد	ءبد	بد	3	مهموز	صحيح
8	أَبَّدَ	م	112	أبد	أبّد	ءبد	بد	4	مضعف مهموز	صحيح
9	تَأَبَّدَ	ل	126	تأبد	تأبّد	تءبد	تبد	5	مضعف مهموز	صحيح
10	أبَرَ	م/ل	53	أبر	أبر	ءبر	بر	3	مهموز	صحيح
11	أَبِرَ	ل	56	أبر	أبر	ءبر	بر	3	مهموز	صحيح
12	أَبَّرَ	م	112	أبر	أبّر	ءبر	بر	4	مضعف مهموز	صحيح
13	تَأَبَّرَ	ل	126	تأبر	تأبّر	تءبر	تبر	5	مضعف مهموز	صحيح
14	اِئْتَبَرَ	م	114	ائتبر	ائتبر	اءتبر	تبر	5	مهموز	صحيح
15	أَبَزَ	ل	154	أبز	أبز	ءبز	بز	3	مهموز	صحيح
16	أَبَسَ	م	54	أبس	أبس	ءبس	بس	3	مهموز	صحيح
17	أَبَّسَ	م	112	أبس	أبّس	ءبس	بس	4	مضعف مهموز	صحيح
18	أَبَشَ	ل/م	54	أبش	أبش	ءبش	بش	3	مهموز	صحيح
19	أَبَّشَ	م	112	أبش	أبّش	ءبش	بش	4	مضعف مهموز	صحيح
20	تَأَبَّشَ	ل	126	تأبش	تأبّش	تءبش	تبش	5	مضعف مهموز	صحيح
21	أَبَصَ	ل	54	أبص	أبص	ءبص	بص	3	مهموز	صحيح
22	أَبِصَ	ل	56	أبص	أبص	ءبص	بص	3	مهموز	صحيح
23	أَبَضَ	ل/م	54	أبض	أبض	ءبض	بض	3	مهموز	صحيح
24	أَبِضَ	ل	56	أبض	أبض	ءبض	بض	3	مهموز	صحيح
25	تأَبَّضَ	ل/م	126	تأبض	تأبّض	تءبض	تبض	5	مضعف مهموز	صحيح
26	تَأَبَّطَ	م	126	تأبط	تأبّط	تءبط	تبط	5	مضعف مهموز	صحيح
27	أَبَقَ	ل	54	أبق	أبق	ءبق	بق	3	مهموز	صحيح
28	أَبِقَ	ل	56	أبق	أبق	ءبق	بق	3	مهموز	صحيح
29	تَأَبَّقَ	ل/م	126	تأبق	تأبّق	تءبق	تبق	5	مضعف مهموز	صحيح
30	أَبَلَ	ل/م	53	أبل	أبل	ءبل	بل	3	مهموز	صحيح
31	أَبِلَ	ل	56	أبل	أبل	ءبل	بل	3	مهموز	صحيح
32	أَبُلَ	ل	57	أبل	أبل	ءبل	بل	3	مهموز	صحيح
33	أَبَّلَ	ل/م	112	أبل	أبّل	ءبل	بل	4	مضعف مهموز	صحيح
34	آبَلَ	ل	106	آبل	آبل	ءابل	بل	4	مهموز	صحيح
35	تَأَبَّلَ	ل/م	126	تأبل	تأبّل	تءبل	تبل	5	مضعف مهموز	صحيح
36	اِئْتَبَلَ	ل	114	ائتبل	ائتبل	اءتبل	تبل	5	مهموز	صحيح
37	أَبَنَ	ل/م	53	أبن	أبن	ءبن	بن	3	مهموز	صحيح
38	أَبَّنَ	م	112	أبن	أبّن	ءبن	بن	4	مضعف مهموز	صحيح
39	تَأَبَّنَ	م	126	تأبن	تأبّن	تءبن	تبن	5	مضعف مهموز	صحيح
40	أَبَهَ	ل/م	55	أبه	أبه	ءبه	به	3	مهموز	صحيح
41	أَبِهَ	ل	56	أبه	أبه	ءبه	به	3	مهموز	صحيح
42	أَبَّهَ	م	112	أبه	أبّه	ءبه	به	4	مضعف مهموز	صحيح
