word	vocalized	source
ءب	آب	vocalizations-paired-words
ءباء	آبَاءِ	vocalizations-json-map
ءباءك	آبَائِكَ	vocalizations-json-map
ءباءكم	آبَائِكُمْ	vocalizations-json-map
ءباءنا	آبَائِنَا	vocalizations-json-map
ءباءهم	آبَائِهِمْ	vocalizations-json-map
ءباءهن	آبَائِهِنَّ	vocalizations-json-map
ءباءي	آبَائِي	vocalizations-json-map
ءبل	آبل	vocalizations-paired-words
ءبهين	آبِهِينَ	vocalizations-paired-words
ءبي	آبِي	vocalizations-paired-words
ءتاك	آتَاكَ	vocalizations-json-map
ءتاكم	آتَاكُمُ	vocalizations-json-map
ءتانا	آتَانَا	vocalizations-json-map
ءتاني	آتَانِيَ	vocalizations-json-map
ءتاه	آتَاهُ	vocalizations-json-map
ءتاها	آتَاهَا	vocalizations-json-map
ءتاهم	آتَاهُمْ	vocalizations-json-map
ءتاهما	آتَاهُمَا	vocalizations-json-map
ءتت	آتَتْ	vocalizations-json-map
ءتنا	آتِنَا	vocalizations-json-map
ءتهم	آتِهِمْ	vocalizations-json-map
ءتوا	آتَوْا	vocalizations-json-map
ءتوني	آتُونِي	vocalizations-json-map
ءتوه	آتَوْهُ	vocalizations-json-map
ءتي	آتِي	vocalizations-json-map
ءتية	آتِيَةٌ	vocalizations-json-map
ءتيت	آتَيْتَ	vocalizations-json-map
ءتيتك	آتَيْتُكَ	vocalizations-json-map
ءتيتكم	آتَيْتُكُمْ	vocalizations-json-map
ءتيتم	آتَيْتُمْ	vocalizations-json-map
ءتيتموهن	آتَيْتُمُوهُنَّ	vocalizations-json-map
ءتيتنا	آتَيْتَنَا	vocalizations-json-map
ءتيتني	آتَيْتَنِي	vocalizations-json-map
ءتيتهن	آتَيْتَهُنَّ	vocalizations-json-map
ءتيك	آتِيكَ	vocalizations-json-map
ءتيكم	آتِيكُمْ	vocalizations-json-map
ءتينا	آتَيْنَا	vocalizations-json-map
ءتيناك	آتَيْنَاكَ	vocalizations-json-map
ءتيناكم	آتَيْنَاكُمْ	vocalizations-json-map
ءتيناه	آتَيْنَاهُ	vocalizations-json-map
ءتيناها	آتَيْنَاهَا	vocalizations-json-map
ءتيناهم	آتَيْنَاهُمُ	vocalizations-json-map
ءتيه	آتِيهِ	vocalizations-json-map
ءتيهم	آتِيهِمْ	vocalizations-json-map
ءثار	آثَارِ	vocalizations-json-map
ءثارهم	آثَارِهِمْ	vocalizations-json-map
ءثارهما	آثَارِهِمَا	vocalizations-json-map
ءثرك	آثَرَكَ	vocalizations-json-map
ءثم	آثِمٌ	vocalizations-json-map
ءثما	آثِمًا	vocalizations-json-map
ءجالها	آجَالُهَا	vocalizations-paired-words
ءخذ	آخِذٌ	vocalizations-json-map
ءخذين	آخِذِينَ	vocalizations-json-map
ءخر	آخَرَ	vocalizations-json-map
ءخران	آخَرَانِ	vocalizations-json-map
ءخره	آخِرَهُ	vocalizations-json-map
ءخرون	آخَرُونَ	vocalizations-json-map
ءخرين	آخَرِينَ	vocalizations-json-map
ءدرار	آدْرَارَ	vocalizations-paired-words
ءدم	آدَمُ	vocalizations-json-map
ءذار	آذار	vocalizations-paired-words
ءذان	آذَانَ	vocalizations-json-map
ءذاننا	آذَانِنَا	vocalizations-json-map
ءذانهم	آذَانِهِمْ	vocalizations-json-map
ءذن	آذَنَ	vocalizations-json-map
ءذناك	آذَنَّاكَ	vocalizations-json-map
ءذنتكم	آذَنْتُكُمْ	vocalizations-json-map
ءذوا	آذَوْا	vocalizations-json-map
